spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4wEFTT1fmFfsLY1K7Y40Cy,עזבת ת'בית,"Peled, Nastia Rod",21,-1,-3,IL,2024-02-14,61,False,228234,TATE WE MADE IT,2023-02-27,0.725,0.633,10,-6.421,0,0.0465,0.436,3.96e-06,0.0931,0.571,140.069,4
0QDGzInNYjTlYI28Xq7slK,לאהוב אותך כל יום,"Doli & Penn, Eden Hason",22,7,-2,IL,2024-02-14,61,False,212451,לאהוב אותך כל יום,2023-05-18,0.607,0.468,4,-8.711,1,0.039,0.164,0.0,0.122,0.516,74.996,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,23,2,16,IL,2024-02-14,96,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
0CBpvL8Z0NRdazbJ4HDm9M,תרקדי (7.10.23),Osher Cohen,24,4,-1,IL,2024-02-14,60,False,300000,תרקדי (7.10.23),2023-11-01,0.469,0.227,9,-10.004,1,0.0354,0.743,0.0,0.1,0.207,118.707,4
5zdau2dtmOUHF3CJ3odKfb,נתראה בגלגול הבא,ששון איפרם שאולוב,25,-6,-9,IL,2024-02-14,59,False,165750,נתראה בגלגול הבא,2023-10-18,0.58,0.37,11,-10.219,0,0.0445,0.728,0.0,0.129,0.455,159.958,4
1D8HR389yohrWVZ1yHI2bc,היי בייב,Tuna,26,-4,9,IL,2024-02-14,59,False,187901,מזרח פרוע,2021-12-17,0.648,0.776,2,-7.552,1,0.0401,0.00956,0.0,0.145,0.625,92.033,4
6oTChqDVAXNxJrg57siTxB,עטלף עיוור,Hanan Ben Ari,27,-3,-3,IL,2024-02-14,55,False,229411,יש כאן יותר מזה,2023-06-12,0.452,0.354,0,-8.386,0,0.0325,0.491,0.0,0.119,0.144,89.805,3
4m4BHvDfzIgj5LbQLuFiIp,CARNIVAL,"Kanye West, Ty Dolla $ign",28,-5,22,IL,2024-02-14,82,True,264324,VULTURES 1,2024-02-09,0.596,0.81,1,-5.745,1,0.152,0.192,0.0,0.338,0.29,148.241,4
3U5JVgI2x4rDyHGObzJfNf,Unwritten,Natasha Bedingfield,29,1,-10,IL,2024-02-14,93,False,259333,Unwritten,2004-08-30,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,4
5oi46p5BbFdvgI0bAeu1rX,עם ישראל חי,Eyal Golan,30,2,-3,IL,2024-02-14,63,False,210858,עם ישראל חי,2023-10-19,0.66,0.582,5,-9.52,1,0.0331,0.67,0.0,0.166,0.479,105.036,4
3mCCFs2hdDM2mObzARzxOg,תיק קטן,"Ness, סטילה",31,19,-3,IL,2024-02-14,59,False,173913,תיק קטן,2023-04-30,0.847,0.349,1,-14.929,1,0.486,0.531,2.33e-06,0.0621,0.419,138.023,4
2foTZaysNY65xcTXlQKxg4,אם אתה שלי,Odeya,32,1,18,IL,2024-02-14,51,False,180000,אם אתה שלי,2024-01-31,0.564,0.384,7,-7.965,0,0.055,0.875,0.0,0.122,0.533,75.99,4
7BcRDWY4VTCvRRHoobFWWo,סהרה - Live,"Tuna, Jasmin Moallem",33,-6,-7,IL,2024-02-14,60,False,272773,סהרה (Live),2022-06-17,0.33,0.768,3,-6.433,0,0.129,0.75,0.0,0.963,0.361,156.52,4
60BOR51eeN8A3wYIrElggH,אני פה,"Osher Cohen, Odeya",34,16,16,IL,2024-02-14,58,False,127080,אושר,2023-02-09,0.732,0.54,0,-8.727,1,0.0986,0.511,8.49e-06,0.431,0.349,106.998,4
3X0WwsNHfSqpd85A9Iggr2,38 וחוץ מכדורגל,"Hanan Ben Ari, Peer Tasi",35,4,-5,IL,2024-02-14,59,False,266467,38 וחוץ מכדורגל,2023-09-13,0.441,0.273,1,-12.426,0,0.0393,0.577,0.0,0.0653,0.267,138.343,3
1zZ9bah4HU0TtICQzCFXp3,אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),"Avi Aburomi, Mor",36,4,4,IL,2024-02-14,58,False,184675,אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),2023-01-25,0.522,0.428,6,-7.764,1,0.0358,0.797,0.0,0.11,0.368,154.088,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,37,5,-4,IL,2024-02-14,99,True,138411,Lovin On Me,2023-11-10,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4
0PfvEnfj3hHl7zlc0WcfGY,‏שלווה בארמונותייך,Ravid Plotnik,38,-7,-17,IL,2024-02-14,59,False,275738,תוך כדי תנועה,2021-09-24,0.335,0.331,5,-10.124,0,0.0349,0.563,4.15e-05,0.161,0.187,136.164,4
1saT4tObMScARIwT4wTv0W,נתראה בגלגול הבא,Ravid Plotnik,39,-2,-14,IL,2024-02-14,59,False,213720,ועכשיו לחלק האומנותי,2019-06-30,0.511,0.396,6,-13.945,0,0.0389,0.184,0.51,0.68,0.197,111.506,3
6uc5gCVI30JNif2o4Ahmud,יום כיפור,Jasmin Moallem,40,10,10,IL,2024-02-14,46,False,193469,יום כיפור,2024-02-08,0.373,0.19,5,-10.606,0,0.0359,0.932,0.0,0.0949,0.159,97.219,4
68kVzJf0STAv91tuLutuDr,שקיעות אדומות,Eden Hason,41,-3,-7,IL,2024-02-14,58,False,212963,אלבום 2,2021-12-01,0.585,0.394,6,-9.016,0,0.0321,0.676,0.0,0.119,0.345,84.018,4
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,42,8,-6,IL,2024-02-14,96,False,183956,AM,2013-09-09,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
1V87lrAqStoF1zp7BjxEkE,זה עלינו,"Subliminal, The Shadow, Raviv Kaner",43,7,7,IL,2024-02-14,43,False,268312,זה עלינו,2024-01-29,0.4,0.862,2,-5.46,1,0.108,0.0256,0.0,0.12,0.146,79.689,4
3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy,44,-1,-12,IL,2024-02-14,86,False,204280,Dream Your Life Away (Special Edition),2014-09-09,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4
4I9NVCnjIRVriXfNE7VhE0,עושה לי צרות,Eden Hason,45,-10,-16,IL,2024-02-14,60,False,158000,עושה לי צרות,2022-05-22,0.552,0.433,6,-9.792,1,0.068,0.777,0.0,0.139,0.334,89.329,4
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,46,0,3,IL,2024-02-14,95,False,200600,Endless Summer Vacation,2023-08-18,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,4
28tCQKMuSmbrGKgBVwDON0,אם מחר אני מת,Liran Danino,47,3,3,IL,2024-02-14,52,False,198000,אם מחר אני מת,2024-01-16,0.473,0.524,1,-7.308,1,0.044,0.755,0.0,0.134,0.381,132.047,4
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,48,2,-4,IL,2024-02-14,96,False,172964,Strangers,2023-09-01,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,49,1,-6,IL,2024-02-14,95,True,219724,GUTS,2023-09-08,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,4
2KBtuxA73fMKyj37wr1XKM,סטלות,Omer Adam,50,0,-2,IL,2024-02-14,59,False,237967,סטלות,2023-08-24,0.636,0.416,1,-8.602,0,0.042,0.871,4.87e-06,0.0896,0.518,87.914,4
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,1,0,0,IE,2024-02-14,98,False,182346,Stick Season,2022-10-14,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,2,1,5,IE,2024-02-14,96,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,Beyoncé,3,47,47,IE,2024-02-14,0,True,235636,TEXAS HOLD 'EM,2024-02-11,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,4
4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,Sophie Ellis-Bextor,4,-2,-2,IE,2024-02-14,94,False,230013,Read My Lips,2002-06-06,0.73,0.849,1,-5.281,0,0.0299,0.00234,2.6e-05,0.312,0.887,117.31,4
